Time X Y Z ID Radius Species
0.65 -1.02448e-06 -1.12938e-05 -3.26195e-06 2 1e-06 0
0.65 -3.45527e-06 -1.06823e-05 -3.40631e-06 3 1e-06 0
0.65 -1.72833e-06 -1.10824e-05 -4.96585e-06 4 1e-06 0
0.65 4.24063e-08 -1.11887e-05 -2.21838e-06 5 1e-06 0
0.7 -7.74467e-07 -7.85232e-06 -3.2989e-06 0 1e-06 0
0.7 -2.39957e-06 -9.19286e-06 -2.25489e-06 1 1e-06 0
0.7 -1.17271e-06 -1.12628e-05 -3.25806e-06 2 1e-06 0
0.7 -3.37882e-06 -1.07729e-05 -3.51846e-06 3 1e-06 0
0.7 -1.74712e-06 -1.10725e-05 -4.88201e-06 4 1e-06 0
0.7 5.85142e-08 -1.11918e-05 -2.24131e-06 5 1e-06 0
0.75 -8.04655e-07 -7.84558e-06 -3.27928e-06 0 1e-06 0
0.75 -2.3182e-06 -9.15185e-06 -2.25867e-06 1 1e-06 0
0.75 -1.324e-06 -1.1226e-05 -3.24796e-06 2 1e-06 0
0.75 -3.3043e-06 -1.08565e-05 -3.62299e-06 3 1e-06 0
0.75 -1.75829e-06 -1.10587e-05 -4.79618e-06 4 1e-06 0
0.75 7.07314e-08 -1.11884e-05 -2.27809e-06 5 1e-06 0
0.8 -8.33823e-07 -7.84385e-06 -3.26211e-06 0 1e-06 0
0.8 -2.23167e-06 -9.12176e-06 -2.26797e-06 1 1e-06 0
0.8 -1.47137e-06 -1.11815e-05 -3.22137e-06 2 1e-06 0
0.8 -3.25778e-06 -1.09278e-05 -3.71483e-06 3 1e-06 0
0.8 -1.7479e-06 -1.10427e-05 -4.71827e-06 4 1e-06 0
0.8 7.88792e-08 -1.11858e-05 -2.32197e-06 5 1e-06 0
0.85 -8.62694e-07 -7.84276e-06 -3.24454e-06 0 1e-06 0
0.85 -2.14674e-06 -9.09908e-06 -2.28107e-06 1 1e-06 0
0.85 -1.59687e-06 -1.1137e-05 -3.18351e-06 2 1e-06 0
0.85 -3.23949e-06 -1.09857e-05 -3.79254e-06 3 1e-06 0
0.85 -1.71156e-06 -1.10239e-05 -4.65075e-06 4 1e-06 0
0.85 8.40886e-08 -1.11831e-05 -2.37543e-06 5 1e-06 0
0.9 -8.87227e-07 -7.84327e-06 -3.23265e-06 0 1e-06 0
0.9 -2.06637e-06 -9.08821e-06 -2.29954e-06 1 1e-06 0
0.9 -1.70713e-06 -1.10929e-05 -3.13245e-06 2 1e-06 0
0.9 -3.25749e-06 -1.1035e-05 -3.86008e-06 3 1e-06 0
0.9 -1.64689e-06 -1.10074e-05 -4.59831e-06 4 1e-06 0
0.9 8.48797e-08 -1.1183e-05 -2.43826e-06 5 1e-06 0
0.95 -9.00937e-07 -7.83921e-06 -3.22749e-06 0 1e-06 0
0.95 -1.99962e-06 -9.09318e-06 -2.30933e-06 1 1e-06 0
0.95 -1.80024e-06 -1.10494e-05 -3.06832e-06 2 1e-06 0
0.95 -3.31159e-06 -1.10805e-05 -3.92036e-06 3 1e-06 0
0.95 -1.56101e-06 -1.09912e-05 -4.55722e-06 4 1e-06 0
0.95 7.94696e-08 -1.11869e-05 -2.51e-06 5 1e-06 0
1 -9.05355e-07 -7.82581e-06 -3.23502e-06 0 1e-06 0
1 -1.94689e-06 -9.10795e-06 -2.31462e-06 1 1e-06 0
1 -1.88908e-06 -1.10052e-05 -2.98931e-06 2 1e-06 0
1 -3.39552e-06 -1.11211e-05 -3.9771e-06 3 1e-06 0
1 -1.45813e-06 -1.09795e-05 -4.52312e-06 4 1e-06 0
1 7.09738e-08 -1.11826e-05 -2.58915e-06 5 1e-06 0
1.05 -8.991e-07 -7.80021e-06 -3.24752e-06 0 1e-06 0
1.05 -1.9081e-06 -9.1271e-06 -2.31375e-06 1 1e-06 0
1.05 -1.96242e-06 -1.09727e-05 -2.89535e-06 2 1e-06 0
1.05 -3.48215e-06 -1.11564e-05 -4.03707e-06 3 1e-06 0
1.05 -1.35462e-06 -1.0968e-05 -4.49221e-06 4 1e-06 0
1.05 5.54275e-08 -1.11787e-05 -2.67128e-06 5 1e-06 0
1.05 -7.47144e-07 5.24384e-06 -4.79727e-06 6 1e-06 0
1.05 -7.47144e-07 4.24384e-06 -4.79727e-06 7 1e-06 0
1.1 -8.87252e-07 -7.76506e-06 -3.26332e-06 0 1e-06 0
1.1 -1.88215e-06 -9.13897e-06 -2.30138e-06 1 1e-06 0
1.1 -2.02532e-06 -1.09566e-05 -2.79131e-06 2 1e-06 0
1.1 -3.568e-06 -1.1182e-05 -4.10607e-06 3 1e-06 0
1.1 -1.2563e-06 -1.09629e-05 -4.47201e-06 4 1e-06 0
1.1 3.73631e-08 -1.1174e-05 -2.74472e-06 5 1e-06 0
1.1 -7.53315e-07 5.28256e-06 -4.79522e-06 6 1e-06 0
1.1 -7.47634e-07 4.21333e-06 -4.79346e-06 7 1e-06 0
1.15 -8.67255e-07 -7.7229e-06 -3.2881e-06 0 1e-06 0
1.15 -1.85801e-06 -9.13337e-06 -2.28686e-06 1 1e-06 0
1.15 -2.09078e-06 -1.09537e-05 -2.68896e-06 2 1e-06 0
1.15 -3.63637e-06 -1.12072e-05 -4.16875e-06 3 1e-06 0
1.15 -1.17195e-06 -1.09557e-05 -4.45617e-06 4 1e-06 0
1.15 1.81415e-08 -1.11706e-05 -2.81679e-06 5 1e-06 0
1.15 -7.60488e-07 5.35049e-06 -4.7916e-06 6 1e-06 0
1.15 -7.47239e-07 4.15367e-06 -4.78833e-06 7 1e-06 0
1.2 -8.43773e-07 -7.6713e-06 -3.31832e-06 0 1e-06 0
1.2 -1.83355e-06 -9.11412e-06 -2.26617e-06 1 1e-06 0
1.2 -2.1629e-06 -1.09663e-05 -2.59187e-06 2 1e-06 0
1.2 -3.68989e-06 -1.12254e-05 -4.22268e-06 3 1e-06 0
1.2 -1.10896e-06 -1.09463e-05 -4.43675e-06 4 1e-06 0
1.2 8.6288e-09 -1.11691e-05 -2.87106e-06 5 1e-06 0
1.2 -7.7123e-07 5.44499e-06 -4.79033e-06 6 1e-06 0
1.2 -7.39813e-07 4.06942e-06 -4.78137e-06 7 1e-06 0
1.25 -8.24399e-07 -7.62955e-06 -3.34974e-06 0 1e-06 0
1.25 -1.80518e-06 -9.08356e-06 -2.24256e-06 1 1e-06 0
1.25 -2.23395e-06 -1.0993e-05 -2.51193e-06 2 1e-06 0
1.25 -3.71969e-06 -1.12378e-05 -4.26873e-06 3 1e-06 0
1.25 -1.07239e-06 -1.093e-05 -4.4302e-06 4 1e-06 0
1.25 5.78044e-09 -1.11663e-05 -2.90507e-06 5 1e-06 0
1.25 -7.85082e-07 5.55955e-06 -4.78769e-06 6 1e-06 0
1.25 -7.37468e-07 3.97063e-06 -4.7745e-06 7 1e-06 0
1.3 -8.07239e-07 -7.59279e-06 -3.37779e-06 0 1e-06 0
1.3 -1.77458e-06 -9.04047e-06 -2.21372e-06 1 1e-06 0
1.3 -2.30633e-06 -1.1023e-05 -2.43998e-06 2 1e-06 0
1.3 -3.72535e-06 -1.12507e-05 -4.30146e-06 3 1e-06 0
1.3 -1.06145e-06 -1.09118e-05 -4.43499e-06 4 1e-06 0
1.3 1.41778e-08 -1.11651e-05 -2.92153e-06 5 1e-06 0
1.3 -8.01597e-07 5.6867e-06 -4.78825e-06 6 1e-06 0
1.3 -7.36345e-07 3.86242e-06 -4.76899e-06 7 1e-06 0
1.35 -7.91864e-07 -7.55997e-06 -3.40175e-06 0 1e-06 0
1.35 -1.74527e-06 -9.01086e-06 -2.18609e-06 1 1e-06 0
1.35 -2.37833e-06 -1.10517e-05 -2.38095e-06 2 1e-06 0
1.35 -3.70842e-06 -1.12615e-05 -4.32742e-06 3 1e-06 0
1.35 -1.07905e-06 -1.08946e-05 -4.45318e-06 4 1e-06 0
1.35 2.98073e-08 -1.11675e-05 -2.92808e-06 5 1e-06 0
1.35 -8.16278e-07 5.8144e-06 -4.78952e-06 6 1e-06 0
1.35 -7.35913e-07 3.74998e-06 -4.75975e-06 7 1e-06 0
1.4 -7.82025e-07 -7.53483e-06 -3.41523e-06 0 1e-06 0
1.4 -1.71628e-06 -8.9898e-06 -2.16321e-06 1 1e-06 0
1.4 -2.44301e-06 -1.10784e-05 -2.33541e-06 2 1e-06 0
1.4 -3.67283e-06 -1.12697e-05 -4.34355e-06 3 1e-06 0
1.4 -1.11864e-06 -1.08828e-05 -4.48774e-06 4 1e-06 0
1.4 5.36108e-08 -1.11707e-05 -2.92749e-06 5 1e-06 0
1.4 -8.25993e-07 5.92535e-06 -4.79741e-06 6 1e-06 0
1.4 -7.36755e-07 3.65522e-06 -4.75253e-06 7 1e-06 0
1.45 -7.73323e-07 -7.51821e-06 -3.42335e-06 0 1e-06 0
1.45 -1.68883e-06 -8.97306e-06 -2.14585e-06 1 1e-06 0
1.45 -2.50678e-06 -1.10953e-05 -2.30485e-06 2 1e-06 0
1.45 -3.62459e-06 -1.12767e-05 -4.35283e-06 3 1e-06 0
1.45 -1.1733e-06 -1.08702e-05 -4.53208e-06 4 1e-06 0
